snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
1,613,661,PC,PC,M,M,True,0.08095925
1,864,868,PSI*,PSI*,M,M,True,0.08070171
1,613,658,PC,PC,M,M,True,0.08061485
1,660,891,PC,PC*,M,M,False,0.07954506
1,826,848,PSI*,PSI*,M,M,True,0.07917175
1,1170,1632,MP*1,MP*1,M,M,True,0.07906945
1,826,854,PSI*,PSI*,M,F,True,0.07832886
1,1622,1645,MP*1,MP*1,M,M,True,0.07819398
1,1181,1645,MP*1,MP*1,M,M,True,0.07819398
1,1164,1645,MP*1,MP*1,M,M,True,0.07819397
1,1492,1645,MP*1,MP*1,M,M,True,0.07819397
1,1632,1645,MP*1,MP*1,M,M,True,0.07819397
1,636,892,PC,PC*,M,M,False,0.07785508
1,660,690,PC,PC,M,M,True,0.07766449
1,857,1181,PSI*,MP*1,M,M,False,0.07648405
1,857,1622,PSI*,MP*1,M,M,False,0.07648405
1,857,1164,PSI*,MP*1,M,M,False,0.07648405
1,682,891,PC,PC*,M,M,False,0.07562961
1,682,690,PC,PC,M,M,True,0.0756296
1,1108,1632,MP*1,MP*1,M,M,True,0.07430907
1,1164,1622,MP*1,MP*1,M,M,True,0.07407877
1,1164,1181,MP*1,MP*1,M,M,True,0.07407877
1,610,613,PC,PC,M,M,True,0.07034338
1,826,1651,PSI*,MP*1,M,M,False,0.06768578
1,826,1181,PSI*,MP*1,M,M,False,0.06736579
1,868,892,PSI*,PC*,M,M,False,0.06728456
